Nome;Data Inicio;Data Conversao;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Educa+ 2026;2023-08-01;2026-01-15;2030-12-15;2026-04-28;7,9;8,02;3686,53;3675,63;3675,63
Tesouro Educa+ 2027;2023-08-01;2027-01-15;2031-12-15;2026-04-28;7,82;7,94;3720,23;3705,9;3705,9
Tesouro Educa+ 2028;2023-08-01;2028-01-15;2032-12-15;2026-04-28;7,75;7,87;3460,85;3443,72;3443,72
Tesouro Educa+ 2029;2023-08-01;2029-01-15;2033-12-15;2026-04-28;7,68;7,8;3223,81;3204,28;3204,28
Tesouro Educa+ 2030;2023-08-01;2030-01-15;2034-12-15;2026-04-28;7,61;7,73;3006,32;2984,8;2984,8
Tesouro Educa+ 2031;2023-08-01;2031-01-15;2035-12-15;2026-04-28;7,52;7,64;2810,94;2787,7;2787,7
Tesouro Educa+ 2032;2023-08-01;2032-01-15;2036-12-15;2026-04-28;7,45;7,57;2628,95;2604,3;2604,3
Tesouro Educa+ 2033;2023-08-01;2033-01-15;2037-12-15;2026-04-28;7,38;7,5;2462,11;2436,31;2436,31
Tesouro Educa+ 2034;2023-08-01;2034-01-15;2038-12-15;2026-04-28;7,31;7,43;2309,25;2282,52;2282,52
Tesouro Educa+ 2035;2023-08-01;2035-01-15;2039-12-15;2026-04-28;7,25;7,37;2166,44;2138,98;2138,98
Tesouro Educa+ 2036;2023-08-01;2036-01-15;2040-12-15;2026-04-28;7,19;7,31;2034,28;2006,25;2006,25
Tesouro Educa+ 2037;2023-08-01;2037-01-15;2041-12-15;2026-04-28;7,14;7,26;1909,94;1881,51;1881,51
Tesouro Educa+ 2038;2023-08-01;2038-01-15;2042-12-15;2026-04-28;7,1;7,22;1792,56;1763,9;1763,9
Tesouro Educa+ 2039;2023-08-01;2039-01-15;2043-12-15;2026-04-28;7,07;7,19;1681,15;1652,42;1652,42
Tesouro Educa+ 2040;2023-08-01;2040-01-15;2044-12-15;2026-04-28;7,05;7,17;1575,32;1546,67;1546,67
Tesouro Educa+ 2041;2023-08-01;2041-01-15;2045-12-15;2026-04-28;7,03;7,15;1476,81;1448,33;1448,33
Tesouro Educa+ 2042;2024-02-05;2042-01-15;2046-12-15;2026-04-28;7,02;7,14;1382,75;1354,57;1354,57
Tesouro Educa+ 2043;2025-02-03;2043-01-15;2047-12-15;2026-04-28;7;7,12;1297,31;1269,46;1269,46
Tesouro Educa+ 2044;2026-02-02;2044-01-15;2048-12-15;2026-04-28;6,99;7,11;1215,35;1187,93;1187,93
Tesouro IGPM+ com Juros Semestrais 2005;2004-12-31;;2005-07-01;2005-06-30;15,53;15,55;1887,16;1887,16;1886,35
Tesouro IGPM+ com Juros Semestrais 2005;2004-12-31;;2005-12-01;2005-11-30;15,02;15,04;1877,26;1877,26;1875,97
Tesouro IGPM+ com Juros Semestrais 2006;2004-12-31;;2006-12-01;2006-11-30;11,15;11,17;0;0;2036,98
Tesouro IGPM+ com Juros Semestrais 2008;2004-12-31;;2008-04-01;2008-03-31;0;0;2088,38;2088,38;2088
Tesouro IGPM+ com Juros Semestrais 2011;2004-12-31;;2011-03-01;2011-02-28;1,79;1,81;2568,49;2568,49;2567,8
Tesouro IGPM+ com Juros Semestrais 2017;2004-12-31;;2017-07-01;2017-06-30;7,92;8,04;0;0;3632,73
Tesouro IGPM+ com Juros Semestrais 2021;2004-12-31;;2021-04-01;2021-03-31;4,96;5,08;0;0;5663,84
Tesouro IGPM+ com Juros Semestrais 2031;2004-12-31;;2031-01-01;2026-04-28;8;8,12;7861,16;7819,96;7819,96
Tesouro IPCA+ 2015;2005-07-18;;2015-05-15;2015-05-14;3,49;3,51;2629,21;2629,21;2628,23
Tesouro IPCA+ 2019;2013-01-14;;2019-05-15;2019-05-14;-0,94;-0,82;3224,89;3224,89;3224,38
Tesouro IPCA+ 2024;2005-07-18;;2024-08-15;2024-08-14;5,97;6,09;4315,49;4313,95;4313,95
Tesouro IPCA+ 2026;2020-02-10;;2026-08-15;2026-04-28;9,11;9,23;4566,39;4562,24;4562,24
Tesouro IPCA+ 2029;2023-01-09;;2029-05-15;2026-04-28;7,83;7,95;3734,68;3720,21;3720,21
Tesouro IPCA+ 2032;2026-02-02;;2032-08-15;2026-04-28;7,6;7,72;2963,37;2941,23;2941,23
Tesouro IPCA+ 2035;2010-03-08;;2035-05-15;2026-04-28;7,37;7,49;2474,77;2448,81;2448,81
Tesouro IPCA+ 2040;2025-02-03;;2040-08-15;2026-04-28;7,07;7,19;1774,87;1745,95;1745,95
Tesouro IPCA+ 2045;2017-02-08;;2045-05-15;2026-04-28;7,01;7,13;1300,26;1272,33;1272,33
Tesouro IPCA+ 2050;2025-02-03;;2050-08-15;2026-04-28;6,95;7,07;925,48;900,31;900,31
Tesouro IPCA+ com Juros Semestrais 2006;2004-12-31;;2006-08-15;2006-08-14;10,68;10,7;0;0;1643,91
Tesouro IPCA+ com Juros Semestrais 2007;2005-07-01;;2007-05-15;2007-05-14;7,6;7,62;0;0;1692,01
Tesouro IPCA+ com Juros Semestrais 2008;2005-09-27;;2008-08-15;2008-08-14;6,17;6,19;1814,85;1814,85;1814,19
Tesouro IPCA+ com Juros Semestrais 2009;2004-12-31;;2009-05-15;2009-05-14;3,58;3,6;0;0;1875,89
Tesouro IPCA+ com Juros Semestrais 2010;2006-01-18;;2010-08-15;2010-08-12;10,54;10,56;1982,96;1982,95;1982,16
Tesouro IPCA+ com Juros Semestrais 2011;2006-03-13;;2011-05-15;2011-05-12;1,15;1,17;2102,48;2102,47;2101,84
Tesouro IPCA+ com Juros Semestrais 2012;2007-05-21;;2012-08-15;2012-08-14;3,03;3,05;0;0;2229,73
Tesouro IPCA+ com Juros Semestrais 2013;2008-01-29;;2013-05-15;2013-05-14;0,57;0,59;0;0;2354,11
Tesouro IPCA+ com Juros Semestrais 2015;2004-12-31;;2015-05-15;2015-05-14;3,49;3,51;0;0;2705,93
Tesouro IPCA+ com Juros Semestrais 2017;2007-05-21;;2017-05-15;2017-05-12;9,1;9,22;0;0;3077,34
Tesouro IPCA+ com Juros Semestrais 2020;2009-03-02;;2020-08-15;2020-08-14;-1,78;-1,66;0;0;3407,83
Tesouro IPCA+ com Juros Semestrais 2024;2004-12-31;;2024-08-15;2024-08-14;5,97;6,09;4443,07;4441,48;4441,48
Tesouro IPCA+ com Juros Semestrais 2026;2016-01-26;;2026-08-15;2026-04-28;9,11;9,23;4701,39;4697,12;4697,12
Tesouro IPCA+ com Juros Semestrais 2030;2020-02-10;;2030-08-15;2026-04-28;7,82;7,94;4456,51;4435,55;4435,55
Tesouro IPCA+ com Juros Semestrais 2032;2022-02-21;;2032-08-15;2026-04-28;7,64;7,76;4385,4;4357,76;4357,76
Tesouro IPCA+ com Juros Semestrais 2035;2006-04-12;;2035-05-15;2026-04-28;7,44;7,56;4401,1;4365,69;4365,69
Tesouro IPCA+ com Juros Semestrais 2037;2026-02-02;;2037-05-15;2026-04-28;7,36;7,48;4365,52;4325,4;4325,4
Tesouro IPCA+ com Juros Semestrais 2040;2020-02-10;;2040-08-15;2026-04-28;7,21;7,33;4270,76;4224,05;4224,05
Tesouro IPCA+ com Juros Semestrais 2045;2004-12-31;;2045-05-15;2026-04-28;7,15;7,27;4289,73;4236,17;4236,17
Tesouro IPCA+ com Juros Semestrais 2050;2012-06-01;;2050-08-15;2026-04-28;7,11;7,23;4179,45;4120,78;4120,78
Tesouro IPCA+ com Juros Semestrais 2055;2020-02-10;;2055-05-15;2026-04-28;7,11;7,23;4213,26;4151,68;4151,68
Tesouro IPCA+ com Juros Semestrais 2060;2025-02-03;;2060-08-15;2026-04-28;7,12;7,24;4108,39;4044,88;4044,88
Tesouro Prefixado 2005;2004-12-31;;2005-01-04;2005-01-03;17,74;17,78;1000;1000;999,35
